rho,t_sweep,t_scaled,A_COM_MSD_mean,A_COM_MSD_sem,B_COM_MSD_mean,B_COM_MSD_sem,Full_COM_MSD_mean,Full_COM_MSD_sem
1.000000000000000000e+00,4.000000000000000000e+01,4.000000000000000083e-03,1.261257215923935693e+00,1.360384916078411551e-03,1.256925769655407921e+00,1.514158186060236919e-03,6.570194406724161329e-01,6.949226044364667509e-04
1.000000000000000000e+00,4.100000000000000000e+01,4.100000000000000346e-03,1.292075289024403384e+00,1.407545998359528575e-03,1.287540975688195033e+00,1.570187953282816632e-03,6.734159874905583099e-01,7.206798848221228002e-04
1.000000000000000000e+00,4.200000000000000000e+01,4.199999999999999740e-03,1.322872464486170907e+00,1.455089481557009668e-03,1.318125144687558370e+00,1.627127927709658573e-03,6.898060075334089269e-01,7.468215819889190230e-04
1.000000000000000000e+00,4.300000000000000000e+01,4.300000000000000003e-03,1.353632849651890568e+00,1.501950149060664362e-03,1.348697842105466060e+00,1.683395660968063558e-03,7.061946017815202703e-01,7.724586168744152197e-04
1.000000000000000000e+00,4.400000000000000000e+01,4.400000000000000265e-03,1.384374939013147010e+00,1.548613494110193849e-03,1.379239455171063833e+00,1.740646051356078017e-03,7.225809908551116267e-01,7.985829367249286815e-04
1.000000000000000000e+00,4.500000000000000000e+01,4.499999999999999660e-03,1.415090955137388917e+00,1.596515438371011106e-03,1.409749351149595986e+00,1.798065546372324937e-03,7.389606176978168461e-01,8.259885561564322617e-04
1.000000000000000000e+00,4.600000000000000000e+01,4.599999999999999922e-03,1.445771531504363105e+00,1.643520421574497844e-03,1.440243296784317950e+00,1.855059623477697903e-03,7.553369876439667285e-01,8.536820075688324183e-04
1.000000000000000000e+00,4.700000000000000000e+01,4.700000000000000185e-03,1.476423250616150540e+00,1.689705790855243169e-03,1.470694313336629477e+00,1.912371809105034657e-03,7.717095385696949306e-01,8.818245165034894117e-04
1.000000000000000000e+00,4.800000000000000000e+01,4.799999999999999580e-03,1.507042897666323933e+00,1.738292113742707966e-03,1.501129883965266920e+00,1.969757764979252618e-03,7.880779283084984321e-01,9.111827194125418725e-04
1.000000000000000000e+00,4.900000000000000000e+01,4.899999999999999842e-03,1.537655142623633786e+00,1.787707662087870564e-03,1.531557795348010176e+00,2.027408552160346166e-03,8.044501511520444348e-01,9.409138432413813790e-04
1.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000104e-03,1.568236986284067047e+00,1.837687685407207077e-03,1.561954397969653963e+00,2.087536944727976483e-03,8.208213955332114287e-01,9.713437012768696369e-04
1.000000000000000000e+00,5.100000000000000000e+01,5.100000000000000366e-03,1.598813416053521896e+00,1.888879341113392299e-03,1.592343131167006876e+00,2.147464177914175983e-03,8.371926106229012898e-01,1.002694727946593783e-03
1.000000000000000000e+00,5.200000000000000000e+01,5.199999999999999761e-03,1.629361023772182948e+00,1.938680294996562902e-03,1.622704653687774279e+00,2.207702919644512207e-03,8.535574444301292640e-01,1.034053275986720512e-03
1.000000000000000000e+00,5.300000000000000000e+01,5.300000000000000024e-03,1.659894770077888104e+00,1.988779571446653432e-03,1.653059420809899871e+00,2.268779372583473904e-03,8.699215002508472461e-01,1.065619375056129671e-03
1.000000000000000000e+00,5.400000000000000000e+01,5.400000000000000286e-03,1.690406846910882166e+00,2.039846579767616401e-03,1.683382713085762150e+00,2.332270222108064148e-03,8.862879208140910237e-01,1.098339791724545775e-03
1.000000000000000000e+00,5.500000000000000000e+01,5.499999999999999681e-03,1.720880196434852349e+00,2.091113267545746321e-03,1.713668254532422219e+00,2.396456994833786464e-03,9.026488516447169763e-01,1.131135579584952424e-03
